,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
id,1347681.0,56177997.25120852,38313752.71196158,534948.4,19706506.0,57664225.0,84495046.0,136497075.6,0.21070747721995908,-0.9468400786425737
revenue,1347681.0,75798.92470882206,43077.474583435716,19000.0,46600.0,65000.0,92000.0,260000.0,1.7415829562809804,3.998810975097888
dti_n,1347681.0,18.152743023015102,8.424414617026349,1.8,11.82,17.63,24.07,38.48,0.2413578640415561,-0.571377820577327
loan_amnt,1347681.0,14382.953365818767,8636.371418050468,1500.0,7975.0,12000.0,20000.0,35000.0,0.7465914602038096,-0.2178411990228022
fico_n,1347681.0,698.0324104888323,31.36564728804535,662.0,672.0,692.0,712.0,802.0,1.1886909927210672,1.1381210027021473
experience_c,1347681.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Default,1347681.0,0.19978689318911522,0.39984022949997267,0.0,0.0,0.0,0.0,1.0,1.5016675671302782,0.2550058606052934
