model_name,val_auc,val_gini,val_ks,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_gini,test_ks,test_accuracy,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp,gini_interpretation,ks_interpretation
Logistic Regression,0.6652317770207422,0.3304635540414844,0.23666199387773645,0.6085383770628042,0.28431511710432933,0.632330547818013,0.39225873340437173,0.6638420589252801,0.3276841178505603,0.23425681956107008,0.6079350886891225,0.28384578168532393,0.631903435468895,0.3917297907121313,129833,85854,19822,34028,Fair - Minimum acceptable,Acceptable separation
XGBoost,0.67770774997193,0.3554154999438599,0.2566379047308456,0.6201694764335748,0.29358219620920817,0.6408542246982358,0.4026884794455011,0.6764116321383363,0.35282326427667265,0.2533379083799856,0.6190801262906391,0.29236697060424605,0.6383101207056638,0.4010430643222999,132492,83195,19477,34373,Fair - Minimum acceptable,Acceptable separation
